Sigla,País,Ano,Region,IncomeGroup,Continente,Cultural Demand,Cultural Resources,Geographic Dispersion,Natural Resources,Natural Demand,Non Leisure Resources,Non Leisure Demand,Openness to Tourism,Prioritization of Tourism,Air Transport Infrastructure,Ground and Port Infrastructure,T&T Employment Multiplier,T&T GDP Multiplier,T&T Government Expenditure - % of Government Budget,T&T High-Wage Jobs -  % of Employment in High Wage Sectors,Domestic T&T spending - % of Internal T&T Spending,T&T industry Share of GDP - % of total GDP,T&T industry GDP
DNK,Denmark,2019,Europe & Central Asia,High income,EU,2.145715,1.7280954,3.5555556,2.5906047,2.3461404,3.6093176,1.5183052,5.1237254,4.5874451,5.4060516,5.4385736,5.1629843,5.3386786,2.4365866,2.8369785,57.3832323,2.367719,8221.427
DNK,Denmark,2021,Europe & Central Asia,High income,EU,2.2313168,1.9161625,3.5555556,2.7082133,2.9354129,3.4960098,1.5020483,5.1678333,4.2627989,4.2109656,5.5400522,4.4795982,4.7028252,2.1752578,2.9135749,69.6166594,1.6796448,5829.88358
DNK,Denmark,2024,Europe & Central Asia,High income,EU,2.1676941,2.0252569,3.5893685,2.7627164,3.1271729,3.3702388,1.422448,5.1619403,3.7659608,4.7568237,5.5253592,3.8360465,4.0559879,2.401,2.9135749,60.4993576,2.141825,8547.482
DOM,Dominican Republic,2019,Latin America & Caribbean,Upper middle income,SA,1.4102347,1.2775587,3.3285713,2.2022244,1.5794889,1.7998038,2.5199262,4.1691375,6.1166149,3.9741788,3.1624827,5.0725226,4.9671204,7.0,3.9119655,24.5145198,5.414271,4381.377
DOM,Dominican Republic,2021,Latin America & Caribbean,Upper middle income,SA,1.3114567,1.4695309,3.3285713,2.2166847,1.6518986,1.6160851,1.7850514,4.2021772,6.1365236,3.8060809,3.3878797,5.3515104,5.0649765,7.0,4.5895002,28.131353,2.268736,1682.49166
DOM,Dominican Republic,2024,Latin America & Caribbean,Upper middle income,SA,1.3098503,1.4691292,3.1359947,2.2492868,1.6713619,1.6276536,1.7856052,4.1981792,5.834264,4.3016744,3.2683552,5.0305034,5.0174515,7.0,4.5895002,26.2340053,5.0386558,5615.938
DZA,Algeria,2019,Middle East & North Africa,Upper middle income,AF,1.157912,2.051978,2.33333,2.5214982,1.1072497,1.8554984,1.0712143,2.4674501,3.3094665,2.7558336,2.7375306,2.7537547,2.9216419,1.6833772,5.6055088,97.6419509,3.201,5544.058
DZA,Algeria,2021,Middle East & North Africa,Upper middle income,AF,1.1356985,2.0964246,2.33333,2.4578412,1.2058421,1.9063865,1.0620218,2.480666,3.4365298,2.5971836,2.9155701,3.8596999,3.6193702,1.6868757,5.5777659,99.1983029,1.2307619,1615.47244
DZA,Algeria,2024,Middle East & North Africa,Upper middle income,AF,1.1509325,2.2002331,2.5785697,2.4742144,1.2288901,1.9364233,1.0828536,2.4940991,3.6921789,2.6600664,2.8014241,4.7572358,4.1627977,1.6901068,5.5777659,97.84774,2.1154385,4024.57476
ECU,Ecuador,2019,Latin America & Caribbean,Upper middle income,SA,1.3491784,1.8956279,3.0459771,4.0819772,1.4071437,2.200433,1.1969406,3.7727811,4.5454242,2.8696468,2.9906551,2.1271837,2.757624,1.7120254,2.540527,30.7699019,2.756982,2929.418
ECU,Ecuador,2021,Latin America & Caribbean,Upper middle income,SA,1.3260464,2.0565116,3.0459771,4.1479986,1.7300263,2.1562532,1.191107,3.7868436,4.3894008,2.8963762,2.9371047,2.0764556,2.5720568,1.7175622,2.7189542,41.0085707,0.9352117,933.659434
ECU,Ecuador,2024,Latin America & Caribbean,Upper middle income,SA,1.3443574,2.1110893,3.1770944,4.1914213,1.7032915,2.1821453,1.2675309,3.6518679,4.4500385,3.0127114,2.8413423,1.8040875,2.2736507,1.568773,2.7189542,34.0877397,2.2137826,2450.15478
EGY,Egypt,2019,Middle East & North Africa,Lower middle income,AF,4.4976388,2.757743,4.4837255,2.9871264,1.6387398,2.2740118,1.3319848,2.9699656,5.7791977,4.1713942,3.4542517,1.4901342,1.7041302,5.7009772,4.2165659,44.5560882,6.19939,15418.49
EGY,Egypt,2021,Middle East & North Africa,Lower middle income,AF,5.1089599,3.0105733,4.4837255,3.0788307,2.0974796,2.369897,1.5407747,2.9831814,6.0109891,4.0638359,3.8212284,1.0,1.3284556,5.856643,4.5024275,65.1775592,2.522208,9477.736
EGY,Egypt,2024,Middle East & North Africa,Lower middle income,AF,5.3864833,3.1799542,4.3206221,3.1079371,2.1662017,2.3948595,1.4809422,3.085937,5.8654208,4.5802409,3.8547749,1.0,1.0,5.8860514,4.5024275,46.9792683,5.286265,22029.1843
ESP,Spain,2019,Europe & Central Asia,High income,EU,6.0128625,6.2198823,3.3069308,4.5808824,4.1644374,4.9073553,4.9795482,4.9597071,5.8227139,6.1976376,4.9199547,4.2145812,3.824041,4.8919912,2.5846889,44.7734142,5.416776,78464.02
ESP,Spain,2021,Europe & Central Asia,High income,EU,6.2941469,6.6235367,3.3069308,5.050275,6.3561346,4.8380123,4.5852332,5.0170308,5.2625808,5.2707418,4.9556833,4.2337684,3.7442847,3.4244152,2.6723227,63.2305701,2.2045758,28183.7521
ESP,Spain,2024,Europe & Central Asia,High income,EU,6.3718868,6.6429717,3.58303,4.953871,5.8451645,4.8059293,4.4487887,5.0112309,5.7250578,6.0568662,4.9238397,4.2946486,3.6968273,5.3962776,2.6723227,46.5885422,5.4579997,74873.1155
EST,Estonia,2019,Europe & Central Asia,High income,EU,1.1798991,1.4616415,2.9729729,1.5684245,1.135078,1.6277064,1.6174686,4.0792889,5.9034903,2.9153229,4.6655356,6.2072542,5.9152848,6.048325,1.6362228,24.9489126,3.768171,1110.58
EST,Estonia,2021,Europe & Central Asia,High income,EU,1.2054411,1.6346936,2.9729729,1.6042713,1.2885899,1.5512744,2.0076439,4.14691,5.8938179,2.4990583,4.7003407,6.1688689,4.7197603,6.0952774,1.9213041,44.0112064,2.1555934,678.1215
EST,Estonia,2024,Europe & Central Asia,High income,EU,1.1995576,1.8498894,3.4855568,1.604188,1.2517602,1.4317672,1.4907205,4.1478468,5.7033945,2.8287223,4.6289537,6.0357937,3.5258463,6.1426708,1.9213041,38.2064653,3.599629,1357.00631
FIN,Finland,2019,Europe & Central Asia,High income,EU,1.5365388,1.5008014,3.3263159,2.3022567,2.0245655,3.4332997,1.489077,4.6708856,5.0062526,4.9409649,4.4647845,7.0,7.0,2.8168048,2.3451403,71.9143793,2.04107,5628.97
FIN,Finland,2021,Europe & Central Asia,High income,EU,1.4658776,1.6998027,3.3263159,2.3905297,2.5394442,3.5428653,1.5068137,4.7149935,4.7033088,3.9334506,4.4437542,6.7914144,6.619174,2.3489613,2.5194421,84.7550246,1.2937638,3491.532
FIN,Finland,2024,Europe & Central Asia,High income,EU,1.4889226,1.805564,3.6189308,2.4079162,2.533063,3.5637986,1.3781105,4.7091131,4.4828305,4.2576514,4.4101486,5.7282431,5.7230364,2.696336,2.5194421,78.1432673,2.0600534,5819.091
FRA,France,2019,Europe & Central Asia,High income,EU,6.6057315,5.9180996,4.0441175,4.8837709,4.8669655,5.135564,4.7078909,4.6968546,4.840091,5.6818868,5.4141384,2.2861735,3.2261025,2.8157848,1.8356666,65.6693671,3.929096,109404.9
FRA,France,2021,Europe & Central Asia,High income,EU,5.3699568,5.9424892,4.0441175,5.3979994,5.8669438,5.0234545,4.0663104,4.7409625,4.3267862,5.0900698,5.4320772,2.0467963,3.1319948,2.3080588,1.8631379,67.0569908,2.0107296,52230.8769
FRA,France,2024,Europe & Central Asia,High income,EU,5.2602318,6.2483913,4.1906481,5.4093315,5.8126314,5.0671821,4.266694,4.7485801,4.9283926,5.4861352,5.3113798,1.7434117,3.0545567,2.9153223,1.8631379,68.1370686,3.5869636,98451.39
GBR,United Kingdom,2019,Europe & Central Asia,High income,EU,5.8807526,5.8826881,3.2970297,4.1288249,5.4846807,6.4528564,7.0,4.9153226,4.6190273,6.2957616,5.276335,2.8402086,4.6107782,2.812912,2.0715011,84.4218692,3.709381,105283.6
GBR,United Kingdom,2021,Europe & Central Asia,High income,EU,2.6946678,5.161167,3.2970297,3.5835861,2.4676731,5.7014269,4.490904,4.9219305,4.4880093,5.2899349,5.1768733,2.9479774,4.9192151,2.0940199,2.0497174,85.3650278,1.3144461,35732.14
GBR,United Kingdom,2024,Europe & Central Asia,High income,EU,5.466173,5.8290432,4.3534752,3.9645141,4.3033872,6.2228018,7.0,4.9578342,4.1654034,5.85474,5.1273828,2.8307076,5.0778197,2.9329504,2.0497174,84.6934562,3.1246908,95549.7055
GEO,Georgia,2019,Europe & Central Asia,Upper middle income,AS,2.2542759,1.688569,4.7941175,1.8357635,2.4502762,1.7325274,2.2051005,4.4528478,4.946146,3.3251108,3.4611145,4.7882119,4.6920069,3.0488932,3.6537801,23.1984737,10.09112,1703.475
GEO,Georgia,2021,Europe & Central Asia,Upper middle income,AS,1.4665553,1.4916388,4.7941175,1.9280892,1.8194804,1.5533159,1.2755095,4.4969557,5.0524711,3.0156069,3.8313099,3.9280102,3.8130438,3.0612054,3.4668269,56.3349059,3.4596376,557.885468
GEO,Georgia,2024,Europe & Central Asia,Upper middle income,AS,1.4027541,1.8090219,5.0893936,2.052437,2.2147438,1.5577952,1.2492567,4.5047483,4.6841627,3.3500254,3.9163634,3.0440787,2.9118073,3.0735913,3.4668269,34.9634476,9.275968,2349.766
GHA,Ghana,2019,Sub-Saharan Africa,Lower middle income,AF,1.2621092,1.2155273,3.5402298,2.2991392,1.1431179,1.6343269,1.1805674,3.0224506,3.5171854,2.5783182,2.5889907,3.1732963,3.240665,3.04855,2.2252578,64.5301743,2.336369,1496.546
GHA,Ghana,2021,Sub-Saharan Africa,Lower middle income,AF,1.3488594,1.2372148,3.5402298,2.3164928,1.2413863,1.5601973,1.1843851,3.0136401,3.6416857,2.5181445,2.7990724,4.1797853,3.8720998,3.06682,2.2253078,74.0517433,0.9849112,647.5252
GHA,Ghana,2024,Sub-Saharan Africa,Lower middle income,AF,1.34771,1.2369275,3.9962072,2.3338266,1.2702986,1.5642355,1.1369701,2.2139895,3.5268597,2.584962,2.8777142,4.5828292,4.185519,3.0852423,2.2253078,66.6734538,1.8859358,1267.52388
GRC,Greece,2019,Europe & Central Asia,High income,EU,3.8218197,2.7304549,3.909091,2.9969708,2.9531262,3.2910086,1.7227549,4.7605191,5.7929384,5.3049638,3.7233721,2.3444912,3.4370304,5.8313302,3.0703119,34.0277728,8.477209,18309.94
GRC,Greece,2021,Europe & Central Asia,High income,EU,3.3760888,2.7690222,3.909091,3.022264,3.0797858,3.0780155,1.5747423,4.804627,5.5222464,4.494173,3.8415383,3.3647568,3.7886813,5.8603612,3.3711814,54.3797655,3.0430272,5892.19666
GRC,Greece,2024,Europe & Central Asia,High income,EU,3.3756613,3.010582,4.1799748,3.0288927,3.0400384,3.3338555,1.2800196,4.7988071,5.4296475,5.5193583,3.7278547,3.921202,3.9569783,5.8895674,3.3711814,36.1745687,7.2489953,15409.524
GTM,Guatemala,2019,Latin America & Caribbean,Upper middle income,SA,1.4157426,1.3664357,2.97,2.738727,1.5124533,1.5022805,1.3179281,3.8226502,4.9302743,2.5316896,2.2310576,4.2096001,4.1766266,3.8797588,4.663056,58.8270372,2.714602,2148.192
GTM,Guatemala,2021,Latin America & Caribbean,Upper middle income,SA,1.3633454,1.3533364,2.97,2.7484934,1.5626058,1.5362359,1.2493496,3.8226502,4.6166283,2.3826566,2.3016483,4.9167321,4.5098456,3.900641,5.1642046,82.1511363,0.8682303,655.4894
GTM,Guatemala,2024,Latin America & Caribbean,Upper middle income,SA,1.408776,1.439694,3.0656095,2.7769397,1.4814873,1.5608064,1.1941742,3.8247533,4.1919194,2.5037123,2.2925738,5.31009,4.6128955,3.9221038,5.1642046,73.1135679,1.7857175,1685.309
HND,Honduras,2019,Latin America & Caribbean,Lower middle income,SA,1.2923688,1.2480922,2.6034484,2.7676846,1.2209667,1.3930192,1.0548588,2.797009,5.1217587,2.4698824,2.5238685,4.1675606,4.1383995,3.5141806,3.0657135,69.1559927,5.292817,1285.874
HND,Honduras,2021,Latin America & Caribbean,Lower middle income,SA,1.2644524,1.2411131,2.6034484,2.7785157,1.2650718,1.3935335,1.0569159,2.7793879,4.9400002,2.3028917,2.4393261,4.7281182,4.351159,3.532879,3.00864,87.1012818,2.039295,490.739048
HND,Honduras,2024,Latin America & Caribbean,Lower middle income,SA,1.2838999,1.245975,2.7980282,2.8057972,1.2682772,1.4191903,1.0410175,2.8065766,4.7311296,2.5144741,2.4334724,4.771264,4.1796642,3.552094,3.00864,78.3962452,3.7280636,1163.87379
HRV,Croatia,2019,Europe & Central Asia,High income,EU,2.5928779,2.3482195,3.7769444,3.459858,6.5355541,1.7334924,1.3134169,4.6204355,4.399677,3.8881171,3.8862272,2.2324326,2.8918624,1.8110032,2.5415603,14.4584949,10.93028,6685.057
HRV,Croatia,2021,Europe & Central Asia,High income,EU,2.3455796,2.2863949,3.7769444,3.5547572,7.0,1.6803544,1.2975499,4.6843672,4.6761587,3.1522949,3.8516791,2.0559835,2.8941948,1.8158764,2.6287786,15.9279492,4.459893,2472.06545
HRV,Croatia,2024,Europe & Central Asia,High income,EU,2.1806574,2.2451643,3.7769444,3.5397554,6.8563003,1.6660068,1.2401594,4.6983292,4.8354701,3.6827674,3.8517621,1.7035625,2.7246805,1.8207791,2.6287786,13.0908409,12.2283564,8550.145
HUN,Hungary,2019,Europe & Central Asia,High income,EU,1.6247672,1.9478585,2.7160494,1.9329167,1.2942822,2.7184188,1.8595535,4.6482939,5.298404,3.531194,4.8815045,1.5138752,5.2533462,4.1831032,1.2466501,23.8900493,2.591651,4021.189
HUN,Hungary,2021,Europe & Central Asia,High income,EU,1.6104928,2.1109565,2.7160494,1.9695741,1.4776707,2.5890348,1.633224,4.7056176,5.4386574,3.3657539,4.8940941,1.7215956,5.3928823,4.2047977,1.24606,29.7256329,1.0850642,1655.37941
HUN,Hungary,2024,Europe & Central Asia,High income,EU,1.5697909,2.2007811,3.4191731,1.9717479,1.3995593,2.5730464,1.5156782,4.7129977,5.3637299,3.6820509,4.9383263,1.8804066,5.0512148,4.2266524,1.24606,25.1027933,2.3073676,4116.028
IDN,Indonesia,2019,East Asia & Pacific,Upper middle income,AS,1.575747,3.4272701,4.8141575,5.4050814,1.7913328,3.0710962,1.5655071,4.1761739,6.2533412,4.4307603,3.5138598,3.5214259,4.8849327,6.6192814,5.2118797,56.5227558,1.896454,19773.11
IDN,Indonesia,2021,East Asia & Pacific,Upper middle income,AS,1.6244124,3.7311031,4.8141575,5.4626611,2.0797027,2.9723379,1.5004088,4.3093444,6.2686616,4.4523448,3.9301243,3.8570095,5.2788127,6.6599386,6.1137142,78.3781029,0.925427,9856.304
IDN,Indonesia,2024,East Asia & Pacific,Upper middle income,AS,1.661864,3.9821327,4.7912242,5.4334865,1.9338298,3.0619142,1.2924091,3.8300928,6.0301678,4.3446017,3.9712665,3.8258946,6.5665427,6.7003276,6.1137142,74.2981211,1.1420581,15041.0938
IND,India,2019,South Asia,Lower middle income,AS,4.9625198,5.37813,3.7680609,5.6934113,2.575964,5.7587725,5.1623766,4.1848242,4.0078729,4.8994072,4.4980401,1.0,3.9424642,1.6046926,6.6038501,87.1959954,3.601763,96427.4
IND,India,2021,South Asia,Lower middle income,AS,3.5518584,5.3712979,3.7680609,5.7224787,2.5186683,5.2226158,3.3750503,4.1782162,4.0384975,4.6742198,4.4146955,1.5553053,4.2204133,1.6095443,7.0,88.9934594,1.633145,42082.75
IND,India,2024,South Asia,Lower middle income,AS,3.6976902,5.6244226,3.8677009,5.7953318,2.5800312,5.0475599,2.6964977,4.132413,4.1106766,4.5912035,4.4320595,2.1392338,4.5228676,1.6143739,7.0,88.360608,2.0349505,68475.3342
IRL,Ireland,2019,Europe & Central Asia,High income,EU,3.0314725,2.5412015,3.46875,1.9730934,2.5817278,4.0245738,2.9115117,4.602795,4.9351527,5.2163237,4.2805007,3.8385398,4.7278627,3.4499566,1.9934618,18.3908678,1.943775,7311.507
IRL,Ireland,2021,Europe & Central Asia,High income,EU,2.4911497,2.4561208,3.46875,2.0071808,2.7519701,4.1616841,3.4599528,4.6601188,4.0066709,4.0647014,4.4105805,3.3295473,4.6550929,2.327979,2.5128689,24.252651,0.3903662,1641.60621
IRL,Ireland,2024,Europe & Central Asia,High income,EU,2.4010614,2.4835987,3.598661,1.9840609,2.5600638,4.181307,3.7082905,4.6715001,3.7794931,4.9818788,4.3280578,2.5598559,4.6001979,3.4692805,2.5128689,23.5720315,1.0947013,5701.555
IRN,Iran,2019,Middle East & North Africa,Upper middle income,AS,1.5070684,3.0601004,2.553719,3.2369734,1.2364161,2.3029166,1.9730253,2.7994112,3.7548589,3.2197364,3.01793,4.3515528,3.9781214,2.8107676,5.6752637,78.5435323,2.475176,10735.32
IRN,Iran,2021,Middle East & North Africa,Upper middle income,AS,1.4988234,3.5413725,2.553719,3.4610717,1.3564333,2.3021076,1.9697895,2.8082217,3.9191204,2.8894973,2.9648745,4.9493268,4.4104943,2.8208926,5.9085985,94.1548712,1.3346804,6895.26033
IRN,Iran,2024,Middle East & North Africa,Upper middle income,AS,1.595824,3.7572893,2.4793888,3.4731441,1.3306034,2.1559569,1.6610533,3.077865,3.8728864,2.880383,2.8547496,5.2904867,4.6526614,2.8310728,5.9085985,92.3753572,1.6093322,38010.1433
ISL,Iceland,2019,Europe & Central Asia,High income,EU,2.8512878,1.6544886,3.7254901,2.8758041,6.4170415,1.3081949,1.3459481,4.6279547,6.1006478,4.8936976,3.2399145,7.0,5.7512154,6.6941962,2.8522303,28.4191156,8.986435,2346.937
ISL,Iceland,2021,Europe & Central Asia,High income,EU,2.5620361,1.5821757,3.7254901,3.0618491,6.2662385,1.3195225,1.3912583,4.6654547,5.2926024,4.4342799,3.1456946,5.8242898,4.7051475,4.2604681,2.61928,44.2624206,3.1558154,650.4177
ISL,Iceland,2024,Europe & Central Asia,High income,EU,2.2719722,1.5596597,3.5133258,3.2125639,6.9852323,1.3293869,1.334162,4.6661494,5.6847901,4.6823804,3.0409019,4.5600304,4.3610844,6.0427072,2.61928,35.8480679,6.2632947,1732.69439
ISR,Israel,2019,Middle East & North Africa,High income,AS,2.1503768,1.8292609,4.4358974,1.8022996,1.3909713,3.5848052,2.9993286,4.2586852,4.8906186,4.8915427,4.4443897,4.7836925,5.8967294,2.261539,2.2114714,47.0739215,1.641791,6147.107
ISR,Israel,2021,Middle East & North Africa,High income,AS,1.8744039,1.7602676,4.4358974,1.8896244,1.649238,3.4912811,2.2833534,4.2520773,4.8538222,4.0365924,4.4549935,4.5889236,5.8657341,2.2668538,2.186083,61.8096253,0.6830512,2731.67014
ISR,Israel,2024,Middle East & North Africa,High income,AS,1.854545,1.7553029,4.1114436,1.8963502,1.6033599,3.4515708,1.8421182,4.2482283,4.5247981,4.5500231,4.3858613,4.3863207,5.8937035,2.2721892,2.186083,60.7987611,1.338104,7056.301
ITA,Italy,2019,Europe & Central Asia,High income,EU,7.0,6.45,4.8252425,4.7690101,7.0,4.4189831,3.6270965,4.7555123,4.9167766,5.3618491,4.6560882,2.0957446,3.0651492,3.154924,2.5660961,76.1617767,5.626479,117336.8
ITA,Italy,2021,Europe & Central Asia,High income,EU,7.0,6.7,4.8252425,4.7765148,7.0,4.2417129,3.1347153,4.8062282,4.9545284,4.8198214,4.8026138,1.9097259,3.0346862,2.5098382,2.6424159,80.5701701,3.000336,56553.89
ITA,Italy,2024,Europe & Central Asia,High income,EU,6.9554372,6.7388593,5.0679005,4.9980161,7.0,4.2297927,2.9194891,4.8009444,5.2308709,5.2438917,4.790597,1.7161434,2.9967214,3.0358665,2.6424159,72.6675004,4.4982667,89137.0
JAM,Jamaica,2019,Latin America & Caribbean,Upper middle income,SA,1.5911648,1.4769579,2.7013,1.7539405,1.6403851,1.1962688,1.1765058,3.8448984,5.9974008,3.6989264,3.9514624,4.9549222,4.9154947,7.0,3.5651434,21.4055993,10.55958,1604.6
JAM,Jamaica,2021,Latin America & Caribbean,Upper middle income,SA,1.5901615,1.476707,2.7013,1.7816329,1.7762178,1.1924212,1.1611154,3.8515063,6.3164131,3.2735784,3.9629891,5.0925315,4.7718595,7.0,3.7626797,17.6352789,3.9346755,576.5985
JAM,Jamaica,2024,Latin America & Caribbean,Upper middle income,SA,1.5921432,1.4772025,2.9088947,1.8273087,1.7787931,1.1843308,1.1287537,3.8556384,6.1656927,3.5823207,3.7622379,5.2012308,4.6041555,7.0,3.7626797,10.4999345,10.5156612,1613.921
JOR,Jordan,2019,Middle East & North Africa,Lower middle income,AS,1.3881473,1.4762035,4.4268293,1.7196072,1.4228608,2.6610734,1.2024205,3.688604,5.4865263,3.5841724,3.1050366,3.9745947,5.856104,7.0,2.5399934,4.7499721,5.236064,2283.516
JOR,Jordan,2021,Middle East & North Africa,Lower middle income,AS,1.3161707,1.5332093,4.4268293,1.7953763,1.490421,2.4687829,1.2137382,3.6952119,5.5648282,3.2895152,3.4197934,4.9442442,5.586907,7.0,2.7927488,8.959831,1.3931053,560.487
JOR,Jordan,2024,Middle East & North Africa,Lower middle income,AS,1.3765983,1.6483162,4.9570015,1.8331732,1.5805462,2.1951046,1.1890943,3.7043514,5.5808824,3.6618064,3.4485937,5.6139415,5.4973614,7.0,2.7927488,6.2674479,4.806162,2247.694
JPN,Japan,2019,East Asia & Pacific,High income,AS,7.0,6.5333333,3.2207792,4.3890057,3.613225,6.1814436,7.0,4.0674836,5.0774859,5.6609936,5.9910356,5.8811221,4.8485241,3.656101,1.6011583,82.455711,2.386801,119016.9
JPN,Japan,2021,East Asia & Pacific,High income,AS,6.4838327,6.6209582,3.2207792,4.8918563,5.1272053,6.0804318,5.6035788,4.0806995,4.9883548,5.5999,6.1146271,5.2226376,4.852607,3.055243,1.7804664,94.6360518,1.5338488,76067.84
JPN,Japan,2024,East Asia & Pacific,High income,AS,6.8220637,6.7055159,3.2706847,5.1059876,5.6676114,5.9304108,5.0504831,4.0610873,4.7826197,5.3388492,6.0792482,4.9704963,5.1364647,3.6286858,1.7804664,98.5753336,1.9826436,82728.95
KAZ,Kazakhstan,2019,Europe & Central Asia,Upper middle income,AS,1.1224918,1.9222896,3.2625,3.1746384,1.0859205,1.9558136,1.0954999,2.500088,4.327549,3.1778418,2.9018681,3.8894804,4.9007871,3.5253826,3.7609681,60.4479575,1.83541,2998.379
KAZ,Kazakhstan,2021,Europe & Central Asia,Upper middle income,AS,1.1189393,1.9714015,3.2625,3.4238422,1.2072376,2.114198,1.112158,2.49348,4.5695929,2.9385633,2.8183965,4.3997364,4.8287162,3.5405578,3.703591,76.9717783,0.7575085,1246.24979
KAZ,Kazakhstan,2024,Europe & Central Asia,Upper middle income,AS,1.1253404,2.0730018,3.0519245,3.6372133,1.1873482,2.2225599,1.0557841,3.1541934,4.305284,3.193153,2.8249724,5.5861727,6.0504975,3.5558242,3.703591,42.3689079,0.7631744,1584.90562
