País,Sigla,Continente,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lao PDR,LAO,AS,,4099999.90463257,4300000.19073486,5000000.0,8000000.0,10000000.0,15000000.0,14000000.0,51000000.0,91000000.0,215000000.0,248000000.0,614000000.0,907000000.0,1054000000.0,1002000000.0,912099975.585938,930000000.0,1005000000.0,1029000000.0,260000000.0
Lebanon,LBN,AS,,,,3319000000.0,3719000000.0,3565000000.0,3783000000.0,3914000000.0,4297000000.0,4928000000.0,4868000000.0,4440000000.0,4511000000.0,4692000000.0,5198000000.0,5187000000.0,5252000000.0,5704000000.0,6395000000.0,6495000000.0,1699000000.0
Libya,LBY,AF,495000000.0,572000000.0,654000000.0,689000000.0,789000000.0,920000000.0,915000000.0,1010000000.0,1339000000.0,1683000000.0,2184000000.0,,2654000000.0,2598000000.0,1325000000.0,1066000000.0,813000000.0,2005000000.0,2042000000.0,,
St. Lucia,LCA,,,,,,,,,,,,,,,,66000000.0,76000000.0,78000000.0,84000000.0,85000000.0,92000000.0,28000000.0
Sri Lanka,LKA,AS,383000000.0,402000000.0,438000000.0,462000000.0,499000000.0,552000000.0,666000000.0,709000000.0,777000000.0,735000000.0,828000000.0,926000000.0,1219000000.0,1808000000.0,1922000000.0,2152000000.0,2295000000.0,2409000000.0,2487000000.0,2436000000.0,803000000.0
Lesotho,LSO,AF,195000000.0,166000000.0,164000000.0,242000000.0,278000000.0,271000000.0,263000000.0,276000000.0,248000000.0,247000000.0,278000000.0,300000000.0,252000000.0,212000000.0,177000000.0,180000000.0,262000000.0,307000000.0,347000000.0,323000000.0,277000000.0
Luxembourg,LUX,EU,,,1936000000.0,2445000000.0,2920000000.0,3015000000.0,3058000000.0,3491000000.0,3839000000.0,3670000000.0,3626000000.0,3873000000.0,3094000000.0,3292000000.0,3359000000.0,2333000000.0,2048000000.0,2607000000.0,2872000000.0,3288000000.0,2458000000.0
Latvia,LVA,EU,281000000.0,255000000.0,267000000.0,365000000.0,428000000.0,655000000.0,788000000.0,1021000000.0,,,,,,,,,,,,,
"Macao SAR, China",MAC,AS,,,512000000.0,471000000.0,529000000.0,475000000.0,506000000.0,608000000.0,695000000.0,714000000.0,883000000.0,1064000000.0,1155000000.0,1239000000.0,1385000000.0,1435000000.0,1500000000.0,1702000000.0,1941000000.0,2034000000.0,886000000.0
Morocco,MAR,AF,506000000.0,589000000.0,669000000.0,845000000.0,912000000.0,999000000.0,1113000000.0,1418000000.0,1910000000.0,1713000000.0,1879000000.0,2260000000.0,2095000000.0,2002000000.0,2273000000.0,2155000000.0,2312000000.0,2829000000.0,2987000000.0,3102000000.0,1509000000.0
Moldova,MDA,EU,86000000.0,90000000.0,109000000.0,118000000.0,135000000.0,170000000.0,224000000.0,290000000.0,359000000.0,307000000.0,298000000.0,349000000.0,396000000.0,428000000.0,442000000.0,370000000.0,334000000.0,380000000.0,438000000.0,479000000.0,303000000.0
Madagascar,MDG,AF,139000000.0,179000000.0,192000000.0,67000000.0,108000000.0,164000000.0,167000000.0,188000000.0,264000000.0,225000000.0,216000000.0,288000000.0,235000000.0,256000000.0,317000000.0,240000000.0,300000000.0,319000000.0,309000000.0,319000000.0,97000000.0
Maldives,MDV,AS,60000000.0,59000000.0,60000000.0,60000000.0,75000000.0,94000000.0,106000000.0,152000000.0,211000000.0,212000000.0,252000000.0,231000000.0,207000000.0,252000000.0,271000000.0,309000000.0,347000000.0,369000000.0,414000000.0,431000000.0,106000000.0
Mexico,MEX,,6365000000.0,6685000000.0,7087000000.0,7252000000.0,8034000000.0,8951000000.0,9387000000.0,9918000000.0,10246000000.0,8737000000.0,9001000000.0,9704000000.0,10735000000.0,11970000000.0,12556000000.0,12668000000.0,12823000000.0,13647000000.0,14074000000.0,12300000000.0,4286000000.0
Marshall Islands,MHL,OC,200000.002980232,300000.011920929,300000.011920929,300000.011920929,400000.005960464,25500000.0,23100000.3814697,24299999.2370605,24500000.0,24549999.2370605,21989999.7711182,23799999.2370605,25500000.0,24700000.7629395,23799999.2370605,26200000.7629395,27000000.0,27600000.3814697,31399999.6185303,,
North Macedonia,MKD,EU,58000000.0,60000000.0,60000000.0,71000000.0,85000000.0,97000000.0,110000000.0,147000000.0,190000000.0,150000000.0,131000000.0,159000000.0,153000000.0,168000000.0,186000000.0,189000000.0,204000000.0,233000000.0,282000000.0,302000000.0,153000000.0
Mali,MLI,AF,66000000.0,65000000.0,62000000.0,94000000.0,125000000.0,133000000.0,196000000.0,201000000.0,228000000.0,191000000.0,167000000.0,171000000.0,164000000.0,189000000.0,231000000.0,207000000.0,213000000.0,220000000.0,255000000.0,,
Malta,MLT,EU,224000000.0,204000000.0,180000000.0,238000000.0,291000000.0,311000000.0,362000000.0,284000000.0,,,,,,,,,,,,,
Myanmar,MMR,AS,30000000.0,32000000.0,34000000.0,36000000.0,32000000.0,34000000.0,40000000.0,39000000.0,49700000.7629395,,,132000000.0,265000000.0,131000000.0,119000000.0,146000000.0,201000000.0,136000000.0,118000000.0,214000000.0,
Montenegro,MNE,EU,,,,,,,,58000000.0,80000000.0,76000000.0,72000000.0,70000000.0,67000000.0,81000000.0,79000000.0,69000000.0,91000000.0,91000000.0,73000000.0,72000000.0,38000000.0
Mongolia,MNG,AS,54000000.0,59000000.0,125000000.0,144000000.0,207000000.0,142000000.0,196000000.0,218000000.0,249000000.0,242000000.0,319000000.0,460000000.0,558000000.0,643000000.0,529000000.0,473000000.0,536000000.0,618000000.0,822000000.0,1036000000.0,573000000.0
Mozambique,MOZ,AF,122000000.0,132000000.0,115000000.0,141000000.0,140000000.0,187000000.0,196000000.0,209000000.0,241000000.0,247000000.0,247000000.0,264000000.0,247000000.0,313000000.0,331000000.0,322000000.0,290000000.0,237000000.0,135000000.0,99000000.0,95000000.0
Mauritania,MRT,AF,,,,,,,,,,,,,101000000.0,105000000.0,112000000.0,73000000.0,74000000.0,61000000.0,38000000.0,56000000.0,35000000.0
Mauritius,MUS,AF,203000000.0,216000000.0,223000000.0,236000000.0,277000000.0,295000000.0,347000000.0,384000000.0,489000000.0,384000000.0,423000000.0,427000000.0,394000000.0,458000000.0,503000000.0,616000000.0,683000000.0,738000000.0,663000000.0,656000000.0,224000000.0
Malawi,MWI,AF,53000000.0,52000000.0,86000000.0,70000000.0,70000000.0,84000000.0,85000000.0,79000000.0,86000000.0,91000000.0,90000000.0,92000000.0,96000000.0,90000000.0,106000000.0,121000000.0,100000000.0,120000000.0,174000000.0,195000000.0,119000000.0
Malaysia,MYS,AS,2543000000.0,3391000000.0,3330000000.0,3401000000.0,3822000000.0,4339000000.0,5085000000.0,6600000000.0,7724000000.0,7196000000.0,9258000000.0,11136000000.0,13165000000.0,13377000000.0,13893000000.0,11599000000.0,11339000000.0,12145000000.0,13207000000.0,13694000000.0,5206000000.0
Namibia,NAM,AF,,,,,,,,,,40000000.0,42000000.0,55000000.0,53000000.0,47000000.0,67000000.0,71000000.0,82000000.0,92000000.0,69000000.0,118000000.0,77000000.0
New Caledonia,NCL,OC,,,,,,,,,354000000.0,330000000.0,343000000.0,356000000.0,336000000.0,333000000.0,328000000.0,253000000.0,252000000.0,,,,
Niger,NER,AF,32000000.0,33000000.0,29000000.0,39000000.0,42000000.0,42000000.0,42000000.0,48000000.0,98000000.0,84000000.0,95000000.0,57000000.0,132000000.0,81000000.0,129000000.0,140000000.0,110000000.0,120000000.0,141000000.0,144500000.0,
Nigeria,NGA,AF,610000000.0,858000000.0,910000000.0,2076000000.0,,501000000.0,3536000000.0,6665000000.0,11007000000.0,6236000000.0,8348000000.0,9533000000.0,9240000000.0,9152000000.0,9204000000.0,9017000000.0,4524000000.0,8194000000.0,13218000000.0,16406000000.0,6613000000.0
Nicaragua,NIC,SA,126000000.0,128000000.0,125000000.0,139000000.0,154000000.0,162000000.0,224000000.0,238000000.0,265000000.0,256000000.0,225000000.0,240000000.0,241000000.0,277000000.0,286000000.0,273000000.0,310000000.0,365000000.0,349000000.0,312000000.0,102000000.0
Netherlands,NLD,EU,13649000000.0,13061000000.0,14201000000.0,15887000000.0,16937000000.0,,,,,,,,20094000000.0,21009000000.0,23655000000.0,20234000000.0,20188800781.25,22301099609.375,23359300781.25,22547400390.625,7435700195.3125
Norway,NOR,EU,4893000000.0,4718000000.0,5610000000.0,7089000000.0,8894000000.0,10400000000.0,11273000000.0,13256000000.0,15118000000.0,13221000000.0,14658000000.0,16958000000.0,18131000000.0,20116000000.0,20166000000.0,16485000000.0,16384000000.0,17489000000.0,18307000000.0,17683000000.0,4230000000.0
Nepal,NPL,AS,109000000.0,128000000.0,108000000.0,119000000.0,205000000.0,221000000.0,261000000.0,402000000.0,545000000.0,572000000.0,528000000.0,420000000.0,562000000.0,598000000.0,680000000.0,669000000.0,634000000.0,886000000.0,915000000.0,713000000.0,267000000.0
Nauru,NRU,OC,,,,,,,,,1500000.0,2500000.0,2900000.0,2900000.0,1900000.0,4300000.0,10700000.0,6400000.0,10000000.0,9000000.0,7100000.0,,
New Zealand,NZL,OC,1235000000.0,1255000000.0,1386000000.0,1649000000.0,2229000000.0,2671000000.0,2535000000.0,3077000000.0,3006000000.0,2580000000.0,3039000000.0,3461000000.0,3715000000.0,3861000000.0,4108000000.0,3721000000.0,4010000000.0,4463000000.0,4603000000.0,,
Oman,OMN,AS,629000000.0,703000000.0,702000000.0,804000000.0,823000000.0,863000000.0,894000000.0,952000000.0,1197000000.0,1295000000.0,1243000000.0,1493000000.0,1644000000.0,1824000000.0,2081000000.0,2208000000.0,2643000000.0,2915000000.0,3210000000.0,3406000000.0,1236000000.0
Pakistan,PAK,AS,574000000.0,555000000.0,491000000.0,1163000000.0,1612000000.0,1753000000.0,2029000000.0,2075000000.0,2163000000.0,1098000000.0,1370000000.0,1857000000.0,1851000000.0,1638000000.0,2209000000.0,2642000000.0,2931000000.0,3316000000.0,2959000000.0,2998000000.0,1245000000.0
Panama,PAN,SA,241000000.0,227000000.0,252000000.0,267000000.0,294000000.0,388000000.0,403000000.0,457000000.0,560000000.0,503000000.0,575000000.0,679000000.0,591000000.0,1078000000.0,1147000000.0,1272000000.0,1351000000.0,1132000000.0,1395000000.0,1623000000.0,601000000.0
Peru,PER,SA,641000000.0,773000000.0,806000000.0,847000000.0,852000000.0,970000000.0,1047000000.0,1243000000.0,1432000000.0,1404000000.0,1648000000.0,1768000000.0,1900000000.0,2105000000.0,2118000000.0,2539000000.0,2700000000.0,2893000000.0,3353000000.0,3627399902.34375,938000000.0
Philippines,PHL,AS,1841000000.0,1918000000.0,1874000000.0,1649000000.0,1526000000.0,3286000000.0,3075000000.0,3351000000.0,4285000000.0,4056000000.0,5964000000.0,6055000000.0,7140000000.0,8400000000.0,11130000000.0,11868000000.0,11681000000.0,12442000000.0,12474000000.0,12926000000.0,4872000000.0
Palau,PLW,OC,11500000.0,14100000.3814697,18200000.7629395,16399999.6185303,18200000.7629395,18000000.0,17399999.6185303,17100000.3814697,19100000.3814697,16100000.3814697,15199999.8092651,17000000.0,19399999.6185303,18500000.0,17200000.7629395,21899999.6185303,23799999.2370605,23299999.2370605,,,
Papua New Guinea,PNG,OC,,,,52000000.0,71900001.5258789,56200000.7629395,43000000.0,81000000.0,75000000.0,132000000.0,138000000.0,186000000.0,203000000.0,214000000.0,168000000.0,135000000.0,126599998.474121,168600006.103516,134000000.0,,
Poland,POL,EU,3417000000.0,3595000000.0,3440000000.0,3286000000.0,5086000000.0,5887000000.0,7645000000.0,8339000000.0,10683000000.0,7883000000.0,8888000000.0,8672000000.0,8911000000.0,8916000000.0,9177000000.0,8285000000.0,8509000000.0,9420000000.0,10367000000.0,10161000000.0,5547000000.0
Puerto Rico (US),PRI,,1333000000.0,1456000000.0,1319000000.0,1420000000.0,1584000000.0,1663000000.0,1752000000.0,1743000000.0,1761000000.0,1388000000.0,1182000000.0,1202000000.0,1162000000.0,1142000000.0,1094000000.0,983000000.0,1059000000.0,1072000000.0,893000000.0,,
Portugal,PRT,EU,2754000000.0,2606000000.0,2635000000.0,2983000000.0,3370000000.0,3742000000.0,4144000000.0,4867000000.0,5284000000.0,4609000000.0,4692000000.0,4951000000.0,4482000000.0,4882000000.0,5213000000.0,4576000000.0,4707000000.0,5509000000.0,6427000000.0,6823000000.0,3536000000.0
Paraguay,PRY,SA,154000000.0,130000000.0,117000000.0,115000000.0,121000000.0,130000000.0,144000000.0,184000000.0,214000000.0,231000000.0,261000000.0,308000000.0,363000000.0,425000000.0,448000000.0,494000000.0,512000000.0,545000000.0,549000000.0,552000000.0,226000000.0
West Bank and Gaza,PSE,AS,290000000.0,361000000.0,373000000.0,312000000.0,336000000.0,223000000.0,211000000.0,395000000.0,477000000.0,479000000.0,521000000.0,603000000.0,647000000.0,630000000.0,514000000.0,606000000.0,620000000.0,813000000.0,826000000.0,914000000.0,567000000.0
French Polynesia,PYF,OC,,,264000000.0,335000000.0,425000000.0,430000000.0,,,388000000.0,339000000.0,335000000.0,327000000.0,300000000.0,293000000.0,312000000.0,277000000.0,226000000.0,,,,
Qatar,QAT,AS,,,,,,,,,,,,7813000000.0,10702000000.0,11729000000.0,12871000000.0,11641000000.0,13152000000.0,12284000000.0,11754000000.0,12528000000.0,11504000000.0
Romania,ROU,EU,447000000.0,475000000.0,448000000.0,572000000.0,672000000.0,1071000000.0,1457000000.0,1723000000.0,2407000000.0,1766000000.0,1897000000.0,2294000000.0,2108000000.0,2125000000.0,2741000000.0,2526000000.0,2910000000.0,4955000000.0,6109000000.0,7172000000.0,3472000000.0
Russian Federation,RUS,EU,,9760000000.0,11362000000.0,13427000000.0,16082000000.0,17963000000.0,18850000000.0,22456000000.0,26401000000.0,23785000000.0,30169000000.0,37343000000.0,48096000000.0,59504000000.0,55383000000.0,38432000000.0,27654000000.0,35584000000.0,38791000000.0,40611000000.0,10800000000.0
Rwanda,RWA,AF,35000000.0,33000000.0,,,,75000000.0,84000000.0,98000000.0,146000000.0,148000000.0,120000000.0,142000000.0,133000000.0,126000000.0,133000000.0,350000000.0,364000000.0,419000000.0,390000000.0,382799987.792969,127000000.0
Saudi Arabia,SAU,AS,,,7370000000.0,4165000000.0,,,,21031000000.0,16005000000.0,21312000000.0,22076000000.0,18202000000.0,17986000000.0,18648000000.0,25137000000.0,20366000000.0,17671000000.0,19065000000.0,17939000000.0,16415000000.0,9069000000.0
Sudan,SDN,AF,55000000.0,74000000.0,91000000.0,119000000.0,176000000.0,667000000.0,1414000000.0,1477000000.0,1268000000.0,868000000.0,1127000000.0,937000000.0,699000000.0,460000000.0,439000000.0,195000000.0,203000000.0,29000000.0,13000000.0,,
Senegal,SEN,AF,125000000.0,112000000.0,112000000.0,129000000.0,138000000.0,144000000.0,139000000.0,352000000.0,277000000.0,260000000.0,217000000.0,250000000.0,248000000.0,265000000.0,280000000.0,261000000.0,277000000.0,295000000.0,324000000.0,,
Singapore,SGP,AS,4535000000.0,6600000000.0,8212000000.0,8382000000.0,9291000000.0,10070000000.0,11268000000.0,13503000000.0,16340000000.0,15704000000.0,18700000000.0,21420000000.0,23139000000.0,24407000000.0,25547000000.0,23658000000.0,23957000000.0,24588000000.0,25346000000.0,,
Solomon Islands,SLB,OC,12199999.8092651,10500000.0,8500000.0,6400000.09536743,12300000.1907349,11199999.8092651,26500000.0,35599998.4741211,40500000.0,37799999.2370605,51200000.7629395,66000000.0,68099998.4741211,68300003.0517578,65599998.4741211,60700000.7629395,74900001.5258789,72699996.9482422,53000000.0,62500000.0,30909999.8474121
Sierra Leone,SLE,AF,34500000.0,42200000.7629395,39099998.4741211,37799999.2370605,30299999.2370605,33599998.4741211,15000000.0,17000000.0,24399999.6185303,26000000.0,22000000.0,26000000.0,32000000.0,71000000.0,45000000.0,34000000.0,36500000.0,62000000.0,61000000.0,83000000.0,
El Salvador,SLV,SA,219000000.0,247000000.0,266000000.0,311000000.0,373000000.0,288000000.0,307000000.0,363000000.0,326000000.0,253000000.0,280000000.0,244000000.0,287000000.0,270000000.0,277000000.0,332000000.0,451000000.0,466000000.0,490000000.0,504000000.0,162000000.0
Serbia,SRB,EU,,,105000000.0,144000000.0,208000000.0,260000000.0,322000000.0,1203000000.0,1448000000.0,1105000000.0,1103000000.0,1263000000.0,1188000000.0,1290000000.0,1360000000.0,1254000000.0,1351000000.0,1549000000.0,1837000000.0,2000000000.0,1179000000.0
Sao Tome and Principe,STP,AF,2200000.04768372,2000000.0,1799999.95231628,1799999.95231628,2099999.90463257,500000.0,1100000.02384186,699999.988079071,310000.002384186,409999.996423721,550000.011920929,1350000.02384186,3200000.04768372,,,,,,,,
Suriname,SUR,SA,67000000.0,62000000.0,54000000.0,68000000.0,85000000.0,94000000.0,33000000.0,28000000.0,35000000.0,35000000.0,41000000.0,49000000.0,58000000.0,75000000.0,90000000.0,128000000.0,112000000.0,99000000.0,104000000.0,94000000.0,64000000.0
Slovak Republic,SVK,EU,341000000.0,340000000.0,506000000.0,662000000.0,900000000.0,1122000000.0,1230000000.0,1825000000.0,2671000000.0,2251000000.0,2146000000.0,2450000000.0,2309000000.0,2523000000.0,2582000000.0,2266000000.0,2420000000.0,2599000000.0,2823000000.0,2811000000.0,1291000000.0
Slovenia,SVN,EU,544000000.0,560000000.0,647000000.0,805000000.0,937000000.0,1019000000.0,1059000000.0,1260000000.0,1611000000.0,1771000000.0,1642000000.0,1727000000.0,1508000000.0,1559000000.0,1646000000.0,1370000000.0,1483800048.82813,1641099975.58594,1864300048.82813,1771699951.17188,855799987.792969
Sweden,SWE,EU,8959000000.0,7916000000.0,8221000000.0,9375000000.0,11088000000.0,11088000000.0,11159000000.0,13646000000.0,14622000000.0,12075000000.0,13973000000.0,,,,,,,,,,
Eswatini,SWZ,AF,32000000.0,31000000.0,,23000000.0,54000000.0,60000000.0,54000000.0,63000000.0,59000000.0,98000000.0,87000000.0,35000000.0,53000000.0,48000000.0,62000000.0,64000000.0,33000000.0,74000000.0,43000000.0,33000000.0,36400001.5258789
Sint Maarten (Dutch part),SXM,,,,,,,,,83400001.5258789,88099998.4741211,104000000.0,105000000.0,112000000.0,120000000.0,114000000.0,117000000.0,118000000.0,114000000.0,100000000.0,77000000.0,77000000.0,21000000.0
Seychelles,SYC,AF,44000000.0,41000000.0,53000000.0,54000000.0,53000000.0,59000000.0,56000000.0,73000000.0,64000000.0,56000000.0,63000000.0,65000000.0,58000000.0,62000000.0,65000000.0,54000000.0,92000000.0,104000000.0,101000000.0,109000000.0,39000000.0
Syrian Arab Republic,SYR,AS,,,,734000000.0,688000000.0,584000000.0,585000000.0,710000000.0,911000000.0,980000000.0,1598000000.0,850000000.0,,,,,,,,,
Togo,TGO,AF,15000000.0,20000000.0,26000000.0,37000000.0,38000000.0,42000000.0,42000000.0,59000000.0,68000000.0,94000000.0,89000000.0,81000000.0,46000000.0,58000000.0,60000000.0,53000000.0,55000000.0,57000000.0,65000000.0,61000000.0,
Thailand,THA,AS,3218000000.0,3334000000.0,3888000000.0,3538000000.0,5343000000.0,4920000000.0,6176000000.0,6889000000.0,6707000000.0,5744000000.0,7155000000.0,7534000000.0,8095000000.0,8238000000.0,8824000000.0,9539000000.0,11267000000.0,12676000000.0,14406000000.0,14969000000.0,3681000000.0
Tajikistan,TJK,AS,,,,,,,,,,,35400001.5258789,31399999.6185303,36500000.0,42500000.0,,,24600000.3814697,15100000.3814697,24200000.7629395,28399999.6185303,10800000.1907349
Timor-Leste,TLS,OC,,,,,,,2000000.0,5000000.0,51000000.0,69000000.0,68000000.0,62000000.0,92000000.0,57000000.0,84000000.0,100000000.0,118000000.0,137000000.0,131000000.0,110000000.0,61000000.0
Tonga,TON,OC,,,,13199999.8092651,16200000.7629395,16000000.0,15000000.0,17299999.2370605,21299999.2370605,19799999.2370605,21600000.3814697,23399999.6185303,28500000.0,29100000.3814697,30100000.3814697,32400001.5258789,23799999.2370605,37700000.7629395,41200000.7629395,44000000.0,38000000.0
Trinidad and Tobago,TTO,SA,190000000.0,172000000.0,208000000.0,143000000.0,141000000.0,234000000.0,146000000.0,155000000.0,102000000.0,136000000.0,97000000.0,188000000.0,223000000.0,116000000.0,168000000.0,253000000.0,230000000.0,147000000.0,149000000.0,133000000.0,42000000.0
Tunisia,TUN,AF,310000000.0,322000000.0,303000000.0,355000000.0,427000000.0,452000000.0,498000000.0,530000000.0,555000000.0,478000000.0,611000000.0,678000000.0,673000000.0,768000000.0,770000000.0,767000000.0,823000000.0,871000000.0,954000000.0,889000000.0,407000000.0
Turkiye,TUR,AS,,,,,,3563000000.0,3517000000.0,4254000000.0,4509000000.0,5061000000.0,5817000000.0,5372000000.0,4585000000.0,5017000000.0,5331000000.0,5635000000.0,5698000000.0,5865000000.0,6068000000.0,5354000000.0,1639000000.0
Tuvalu,TUV,OC,,4199999.80926514,3900000.09536743,4300000.19073486,4599999.90463257,4599999.90463257,5429999.82833862,6889999.8664856,8399999.61853027,7500000.0,8699999.80926514,11449999.8092651,11500000.0,6900000.09536743,7500000.0,9399999.61853027,11399999.6185303,10100000.3814697,10800000.1907349,9800000.19073486,
Tanzania,TZA,AF,369000000.0,363000000.0,361000000.0,375000000.0,470000000.0,577000000.0,571000000.0,616000000.0,746000000.0,806000000.0,861000000.0,928000000.0,1003000000.0,1101000000.0,1185000000.0,1288000000.0,992000000.0,873000000.0,818000000.0,738200012.207031,
Uganda,UGA,AF,,,,,158000000.0,185000000.0,196000000.0,220000000.0,315000000.0,351000000.0,464000000.0,540000000.0,642000000.0,349000000.0,342000000.0,278000000.0,309000000.0,365000000.0,497000000.0,596000000.0,268000000.0
Ukraine,UKR,EU,561000000.0,676000000.0,794000000.0,953000000.0,2660000000.0,3078000000.0,3202000000.0,4022000000.0,4585000000.0,3751000000.0,4134000000.0,4829000000.0,5536000000.0,6300000000.0,5470000000.0,5408000000.0,6306000000.0,7536000000.0,8287000000.0,8907000000.0,4823000000.0
Uruguay,URY,SA,381000000.0,338000000.0,243000000.0,236000000.0,267000000.0,331000000.0,305000000.0,354000000.0,466000000.0,442000000.0,549000000.0,797000000.0,1043000000.0,1486000000.0,1559000000.0,1384000000.0,1079000000.0,1222000000.0,1252000000.0,1424000000.0,412000000.0
United States,USA,,85490000000.0,82185000000.0,79362000000.0,81708000000.0,93343000000.0,98694000000.0,105403000000.0,112928000000.0,119135000000.0,115123000000.0,123831000000.0,130606000000.0,138167000000.0,132322000000.0,140228000000.0,144669000000.0,147640000000.0,158287000000.0,176818000000.0,186079000000.0,48837000000.0
Uzbekistan,UZB,AS,,,,,,,,,,,,,,,1509000000.0,1902000000.0,1832000000.0,2107000000.0,2722000000.0,2753000000.0,1062000000.0
St. Vincent and the Grenadines,VCT,,,,,,,,,,,,,,,,34000000.0,40000000.0,41000000.0,38000000.0,40000000.0,40000000.0,13000000.0
"Venezuela, RB",VEN,SA,1647000000.0,1718000000.0,1546000000.0,1311000000.0,1604000000.0,1843000000.0,1807000000.0,2292000000.0,2745000000.0,3019000000.0,2944000000.0,3994000000.0,4592000000.0,5417000000.0,4118000000.0,3249000000.0,2920000000.0,,,,
Viet Nam,VNM,AS,,,,,,900000000.0,1050000000.0,1220000000.0,1300000000.0,1100000000.0,1470000000.0,1710000000.0,1856000000.0,2050000000.0,2650000000.0,3595000000.0,4500000000.0,5040000000.0,5910000000.0,6460000000.0,4360000000.0
Vanuatu,VUT,OC,,,11000000.0,14000000.0,15000000.0,13000000.0,11000000.0,13000000.0,32000000.0,28000000.0,34000000.0,39000000.0,43000000.0,46000000.0,41000000.0,34000000.0,28000000.0,19000000.0,21000000.0,32000000.0,22000000.0
Samoa,WSM,OC,,,,,11899999.6185303,20299999.2370605,21200000.7629395,19799999.2370605,21600000.3814697,20000000.0,25200000.7629395,22299999.2370605,22299999.2370605,13899999.6185303,4099999.90463257,2900000.09536743,2099999.90463257,3900000.09536743,4099999.90463257,5199999.80926514,1799999.95231628
"Yemen, Rep.",YEM,AS,127000000.0,136000000.0,135000000.0,134000000.0,183000000.0,224000000.0,225000000.0,247000000.0,246000000.0,277000000.0,252000000.0,258000000.0,148000000.0,161000000.0,158000000.0,79000000.0,56000000.0,,,,
South Africa,ZAF,AF,2684000000.0,2366000000.0,2251000000.0,3655000000.0,4237000000.0,4812000000.0,5230000000.0,6104000000.0,6905000000.0,6421000000.0,8139000000.0,8397000000.0,7145000000.0,6491000000.0,6314000000.0,5734000000.0,5354000000.0,6068000000.0,6348000000.0,5866000000.0,1594000000.0
Zambia,ZMB,AF,102000000.0,102000000.0,109000000.0,115000000.0,86000000.0,87000000.0,92000000.0,120000000.0,164000000.0,143000000.0,167000000.0,223000000.0,303000000.0,357000000.0,378000000.0,400000000.0,423000000.0,410000000.0,478000000.0,511000000.0,474000000.0
Zimbabwe,ZWE,AF,,,,,,,,,,167000000.0,203000000.0,317000000.0,387000000.0,441000000.0,451000000.0,557000000.0,406000000.0,337000000.0,269000000.0,257000000.0,157000000.0
